#OTU ID	magic.0040.S71.R1.001	magic.0112.S49.R1.001	magic.0134.S97.R1.001	magic.0317.S53.R1.001	magic.0020.S23.R1.001	magic.0402.S78.R1.001	magic.0232.S75.R1.001	magic.0315.S29.R1.001	magic.0435.S43.R1.001	magic.0018.S106.R1.001	magic.0124.S61.R1.001	magic.0150.S50.R1.001	magic.0532.S92.R1.001	magic.0030.S59.R1.001	magic.0079.S84.R1.001	magic.0013.S58.R1.001	magic.0132.S85.R1.001	magic.0316.S41.R1.001	magic.0374.S54.R1.001	magic.0001.S22.R1.001	magic.0243.S99.R1.001	magic.0173.S98.R1.001	magic.0542.S57.R1.001	magic.0146.S109.R1.001	magic.0100.S96.R1.001	magic.0537.S104.R1.001	magic.0156.S62.R1.001	magic.0244.S111.R1.001	magic.0456.S79.R1.001	magic.0339.S30.R1.001	magic.0053.S24.R1.001	magic.0367.S42.R1.001	magic.0016.S82.R1.001	magic.0164.S74.R1.001	magic.0231.S63.R1.001	magic.0551.S105.R1.001	magic.0048.S83.R1.001	magic.0331.S77.R1.001	magic.0440.S55.R1.001	magic.0004.S34.R1.001	magic.0531.S80.R1.001	magic.0179.S110.R1.001	magic.0526.S56.R1.001	magic.0539.S33.R1.001	magic.0075.S60.R1.001	magic.0149.S38.R1.001	magic.0242.S87.R1.001	magic.0514.S44.R1.001	magic.0246.S28.R1.001	magic.0017.S94.R1.001	magic.0078.S72.R1.001	magic.0011.S46.R1.001	magic.0109.S25.R1.001	magic.0131.S73.R1.001	magic.0552.S117.R1.001	magic.0465.S91.R1.001	magic.0015.S70.R1.001	magic.0527.S68.R1.001	magic.0021.S35.R1.001	magic.0063.S48.R1.001	magic.0396.S66.R1.001	magic.0337.S113.R1.001	magic.0471.S103.R1.001	magic.0428.S102.R1.001	magic.0547.S81.R1.001	magic.0287.S76.R1.001	magic.0272.S52.R1.001	magic.0148.S26.R1.001	magic.0110.S37.R1.001	magic.0050.S95.R1.001	magic.0307.S112.R1.001	magic.0170.S86.R1.001	magic.0268.S40.R1.001	magic.0417.S90.R1.001	magic.0300.S100.R1.001	magic.0538.S116.R1.001	magic.0334.S89.R1.001	magic.0290.S88.R1.001	magic.0541.S45.R1.001	magic.0278.S64.R1.001	magic.0335.S101.R1.001	magic.0059.S36.R1.001	magic.0549.S93.R1.001	magic.0217.S51.R1.001	magic.0543.S69.R1.001	magic.0322.S65.R1.001	magic.0433.S31.R1.001	magic.0429.S114.R1.001	magic.0473.S115.R1.001	magic.0189.S39.R1.001	magic.0028.S47.R1.001	magic.0101.S108.R1.001	magic.0185.S27.R1.001	magic.0484.S32.R1.001	Postive.Control.S107.R1.001	Blank.S67.R1.001
NC_004369.1_Corynebacterium_efficiens_YS-314_DNA-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004663.1_Bacteroides_thetaiotaomicron_VPI-5482_chromosome-_complete_genome	2	28	22	55	83	374	5621	36757	7472	40	31070	3	1395	9099	239	1976	19	135	810	2030	1108	5	5	441	9495	2555	34	100	1	2670	147	44049	638	103	15	4	1	20	29	1006	1168	0	1367	7996	395	138	1032	7352	901	1121	1	29525	24	87	573	1354	6	13	665	1069	2	31587	212	2	4	395	655	118347	266	90291	1203	749	171	43	10	38	38	36	621	320	3	135	1090	2	194	170	11	11	74	980	1335	1	0	3	0	1
NC_004567.2_Lactobacillus_plantarum_WCFS1-_complete_genome	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004463.1_Bradyrhizobium_japonicum_USDA_110_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004557.1_Clostridium_tetani_E88-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004603.1_Vibrio_parahaemolyticus_RIMD_2210633_chromosome_1-_complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_016845.1_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286_chromosome-_complete_genome	10	3	95775	990	475	7	23	10	34	30	17	11	17	34	3	48	1313	40	25985	312	2488	35	1800	1656	334	219	206	9	635	1147	1	64	232	32746	91	349	13	6307	8256	243	683	536	37	620	6	98	20	692	28979	33	13	0	12	9	16	81415	517	10	9	33	561	51	82	2243	1820	384	2	15	3	117	14	9	4	15	19	0	488	668	526	27	107750	3	922	264	34	5	542	28	18	439	373	0	0	0	0	1
NC_006347.1_Bacteroides_fragilis_YCH46_DNA-_complete_genome	16	20407	1584	49	605	212615	120001	11882	88597	93	7158	10	1284	2638	539	2382	275	838	3304	794	400369	34	39	226550	4204	74074	117	238	11	14309	402	5183	285	1662	39	54	4	280	83	626	5647	22	1054	2106	1382	71	1766	1896	11170	4009	21	2011	17	40	5755	2287	32	34	13902	13167	5	2216	1315	39	121	1098	70297	3842	598	16917	83942	100246	334	39	195	170	311	1132	12538	962	6	300	11729	18	243	127	47	37	255	2387	2029	1	5	0	4	0
NC_004669.1_Enterococcus_faecalis_V583_plasmid_pTEF1-_complete_sequence	1	0	3	742	1500	1	0	0	0	414	0	14	7	31	0	554	629	56	9	888	0	0	16	171	0	71	2	0	29	1	1	6	247	0	279	26	102	404	0	779	1	36	21	443	0	4	0	11	32	2	154	107	7	2	14	1	851	436	1	0	105	0	1	164	0	1	0	0	0	112	0	0	0	2	10	0	1	1	0	0	101	0	1	0	8	0	0	2	5	4	10	0	0	0	0	0
NC_004851.1_Shigella_flexneri_2a_str._301_plasmid_pCP301-_complete_sequence	1	0	381	1	1	52	148	0	96	653	97	365	0	26	0	0	8	14	0	114	7	316	0	0	952	18	1	34	0	0	0	0	130	2	434	390	424	1	0	110	0	0	0	2	0	1	0	5	0	94	476	3	0	362	4	0	310	161	0	1	0	0	12	1	1	1	0	5	1	0	10	48	2	0	20	4	7	0	21	25	0	0	6	0	22	1	0	1	0	0	7	0	0	0	0	0
NC_004703.1_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482-_complete_sequence	0	0	2	0	14	1	486	3004	375	1	0	0	0	8	31	0	1	13	85	1	0	0	1	2	0	150	0	11	0	156	9	4745	0	0	0	0	0	0	0	25	16	0	0	20	25	6	186	744	128	3	0	524	0	1	1925	141	0	2	49	228	0	2264	7	0	0	11	2122	1	18	1495	157	42	4	0	0	0	3	3	2	6	0	6	211	0	1	9	0	0	93	58	58	0	0	0	0	0
NC_004757.1_Nitrosomonas_europaea_ATCC_19718-_complete_genome	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004829.2_Mycoplasma_gallisepticum_str._R{low}-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
